Year,Neighborhood,daytime surface temp,heat vulnerability index,latitude,longitude,Borough,GeoID
2018,Whitestone,99.87599413,1,40.7920,-73.8096,Queens,8149
2018,Ozone Park,101.3239333,3,40.6794,73.8507,Queens,8156
2018,Lindenwood-Howard Beach,96.85238947,1,40.6617,-73.8478,Queens,8157
2018,Richmond Hill,102.3394208,4,40.6958,-73.8272,Queens,8154
2018,Jamaica,102.5513715,5,40.7027,73.7890,Queens,8161
2018,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,94.28468415,2,40.5510,-73.9376,Queens,8110
2018,Elmhurst,100.8520893,3,40.7380,-73.8801,Queens,8129
2018,Elmhurst-Maspeth,99.93787093,3,40.7429,-73.8800,Queens,8150
2018,Arden Heights,97.73813675,1,40.5564,-74.1735,Staten Island,8548
2018,Annadale-Huguenot-Prince's Bay-Eltingville,95.91782064,1,40.5290,-74.1976,Staten Island,8501
2018,Charleston-Richmond Valley-Tottenville,93.95047383,1,40.5201,-74.2293,Staten Island,8511
2018,Rossville-Woodrow,96.93967518,1,40.5457,-74.2163,Staten Island,8532
2018,Grymes Hill-Clifton-Fox Hills,95.48650392,2,40.6187,-74.0935,Staten Island,8508
2018,New Dorp-Midland Beach,99.10974709,1,40.5740,-74.1160,Staten Island,8545
2018,New Brighton-Silver Lake,96.55750031,1,40.6404,-74.0902,Staten Island,8535
2018,West New Brighton-New Brighton-St. George,96.66523531,3,40.6350,-74.1120,Staten Island,8522
2018,Westerleigh,99.23379108,1,40.6163,-74.1387,Staten Island,8507
2018,Port Richmond,101.6232665,4,40.6339,-74.1361,Staten Island,8528
2018,West Brighton,95.92833295,2,40.6270,-74.1093,Staten Island,4723
2018,Mariner's Harbor-Arlington-Port Ivory-Graniteville,100.1636673,3,40.6368,-74.1588,Staten Island,8512
2018,New Springville-Bloomfield-Travis,96.71574245,1,40.5848,-74.1603,Staten Island,8505
2018,Oakwood-Oakwood Beach,95.98250809,1,40.5490,-74.1118,Staten Island,8525
2018,Great Kills,98.54796589,1,40.5543,-74.1563,Staten Island,8554
2018,Grasmere-Arrochar-Ft. Wadsworth,95.38452307,1,40.6061,-74.0602,Staten Island,8514
2018,Stapleton-Rosebank,96.36805787,2,40.6265,-74.0776,Staten Island,8537
2018,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,97.63927997,1,40.6014,-74.1034,Staten Island,8524
2018,Old Town-Dongan Hills-South Beach,97.11233097,1,40.5963,-74.0875,Staten Island,8536
